,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0, Waking up to the sound of birds chirping is the best! , Positive ,2023-05-10 07:30:00, EarlyBird , Instagram , #MorningVibes #Peaceful ,12.0,45.0, USA ,2023,5,10,7
1,1, My flight got delayed for the third time today. , Negative ,2023-05-10 14:15:00, TravelWoes , Twitter , #TravelFail #AirportLife ,25.0,15.0, UK ,2023,5,10,14
2,2, Reviewing the financial reports for the next quarter. , Neutral ,2023-05-11 09:00:00, AnalystPro , Facebook , #Business #WorkLife ,5.0,12.0, Canada ,2023,5,11,9
3,3, I am absolutely fuming about this data breach! , Anger ,2023-05-11 11:45:00, PrivacyFirst , Twitter , #DataPrivacy #Angry ,60.0,120.0, Germany ,2023,5,11,11
4,4, The silence of the deep forest is slightly unnerving. , Fear ,2023-05-12 21:30:00, WoodsWalker , Instagram , #Forest #Spooky ,8.0,30.0, Australia ,2023,5,12,21
5,5, Saying goodbye to my childhood home was so hard. , Sadness ,2023-05-13 16:20:00, NostalgicSoul , Facebook , #MovingDay #Memories ,18.0,55.0, USA ,2023,5,13,16
6,6, This street food is genuinely revolting and greasy. , Disgust ,2023-05-14 13:10:00, FoodCriticX , Twitter , #FoodFail #Gross ,10.0,22.0, India ,2023,5,14,13
7,7, Pure bliss is a warm cup of coffee and a new book. , Happiness ,2023-05-15 08:00:00, BookWorm99 , Instagram , #Happiness #Reading ,35.0,80.0, UK ,2023,5,15,8
8,8, Watching my younger sister graduate filled me with pride. , Joy ,2023-05-16 12:00:00, ProudBrother , Facebook , #Graduation #FamilyJoy ,45.0,150.0, Canada ,2023,5,16,12
9,9, Every time I see you, my heart just skips a beat. , Love ,2023-05-17 19:45:00, SecretAdmirer , Twitter , #Love #Romance ,20.0,90.0, France ,2023,5,17,19
10,10, The kitten tried to jump and fell on the soft rug. , Amusement ,2023-05-18 10:20:00, CatLover101 , Instagram , #FunnyCats #Amusement ,50.0,200.0, USA ,2023,5,18,10
11,11, I could sit by this lake and watch the waves all day. , Enjoyment ,2023-05-19 15:30:00, NatureLover , Facebook , #Nature #Peaceful ,22.0,65.0, Brazil ,2023,5,19,15
12,12, The level of craftsmanship in this watch is insane. , Admiration ,2023-05-20 11:00:00, LuxuryWatch , Twitter , #Craftsmanship #Admiration ,15.0,40.0, Switzerland ,2023,5,20,11
